 [00:55:17]  Set Debug : True.
 [01:45:53]  OUT: S 8, D 5, Dp 9, Sp 41, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:45:54]  OUT: S 8, D 5, Dp 9, Sp 61, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:45:55]  INP: S 5, D 8, Dp 61, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:45:55]  OUT: S 8, D 5, Dp 9, Sp 49, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:45:56]  INP: S 5, D 8, Dp 49, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:45:57]  OUT: S 8, D 5, Dp 9, Sp 37, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:45:57]  INP: S 5, D 8, Dp 37, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:45:58]  OUT: S 8, D 5, Dp 9, Sp 56, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:45:59]  OUT: S 8, D 5, Dp 9, Sp 44, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:01]  OUT: S 8, D 5, Dp 9, Sp 32, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:02]  OUT: S 8, D 5, Dp 9, Sp 52, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:02]  INP: S 5, D 8, Dp 52, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:46:03]  OUT: S 8, D 5, Dp 9, Sp 39, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:04]  INP: S 5, D 8, Dp 39, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:46:05]  OUT: S 8, D 5, Dp 9, Sp 59, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:06]  OUT: S 8, D 5, Dp 9, Sp 47, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:06]  INP: S 5, D 8, Dp 47, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:46:07]  OUT: S 8, D 5, Dp 9, Sp 34, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:08]  INP: S 5, D 8, Dp 34, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:46:09]  OUT: S 8, D 5, Dp 9, Sp 54, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:10]  OUT: S 8, D 5, Dp 9, Sp 42, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:11]  OUT: S 8, D 5, Dp 9, Sp 58, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:13]  OUT: S 8, D 5, Dp 9, Sp 45, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:14]  OUT: S 8, D 5, Dp 9, Sp 33, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:14]  INP: S 5, D 8, Dp 33, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:46:15]  OUT: S 8, D 5, Dp 9, Sp 53, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:16]  INP: S 5, D 8, Dp 53, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:46:17]  OUT: S 8, D 5, Dp 9, Sp 41, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:18]  OUT: S 8, D 5, Dp 9, Sp 60, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:19]  OUT: S 8, D 5, Dp 9, Sp 48, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:20]  INP: S 5, D 8, Dp 48, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:46:21]  OUT: S 8, D 5, Dp 9, Sp 36, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:22]  OUT: S 8, D 5, Dp 9, Sp 55, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:22]  INP: S 5, D 8, Dp 55, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:46:23]  OUT: S 8, D 5, Dp 9, Sp 43, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:25]  OUT: S 8, D 5, Dp 9, Sp 63, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:26]  OUT: S 8, D 5, Dp 9, Sp 51, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:27]  OUT: S 8, D 5, Dp 9, Sp 38, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:28]  INP: S 5, D 8, Dp 38, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:46:29]  OUT: S 8, D 5, Dp 9, Sp 58, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:29]  INP: S 5, D 8, Dp 58, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:46:30]  OUT: S 8, D 5, Dp 9, Sp 46, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:31]  OUT: S 8, D 5, Dp 9, Sp 34, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:32]  INP: S 5, D 8, Dp 34, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:46:33]  OUT: S 8, D 5, Dp 9, Sp 53, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:33]  INP: S 5, D 8, Dp 53, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:46:34]  OUT: S 8, D 5, Dp 9, Sp 41, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [01:46:34]  INP: S 5, D 8, Dp 41, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [01:46:35]  OUT: S 8, D 5, Dp 9, Sp 57, Pr 1, Fl 0x01, Sz 0 VIA: KISS
